epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1915.57,1.51102,2.41106,1.87312,0.36782,0.40983,0.33589,0.17112,1.73416,2.16277,2.13387,0.000901699,0.000901699,0.000901699
43,1964.6,1.50872,2.38992,1.85905,0.34521,0.42477,0.34326,0.1711,1.69402,2.18731,2.11543,0.000888838,0.000888838,0.000888838
44,2013.22,1.49958,2.37295,1.86232,0.32368,0.42139,0.3326,0.16137,1.75709,2.23411,2.16357,0.000875977,0.000875977,0.000875977
45,2062.47,1.46895,2.38386,1.82841,0.33766,0.36311,0.30521,0.15522,1.73403,2.21039,2.16789,0.000863116,0.000863116,0.000863116
46,2111.92,1.48992,2.3333,1.84159,0.35631,0.41368,0.33464,0.16256,1.70298,2.2797,2.15029,0.000850255,0.000850255,0.000850255
47,2161.78,1.46923,2.32364,1.81781,0.44075,0.39615,0.34704,0.18648,1.63573,2.19586,2.05317,0.000837394,0.000837394,0.000837394
48,2210.85,1.45922,2.35125,1.82993,0.39315,0.3746,0.33129,0.17994,1.66239,2.1822,2.10017,0.000824533,0.000824533,0.000824533
49,2259.96,1.43381,2.24718,1.78412,0.41915,0.47495,0.36899,0.20079,1.67512,2.16711,2.10031,0.000811672,0.000811672,0.000811672
50,2309.09,1.44921,2.26947,1.80766,0.42917,0.40315,0.36471,0.1976,1.65201,2.08657,2.06013,0.000798811,0.000798811,0.000798811
51,2358.77,1.43564,2.2422,1.81008,0.39574,0.41252,0.33951,0.18649,1.67361,2.13446,2.12849,0.00078595,0.00078595,0.00078595
52,2407.41,1.44157,2.22852,1.79861,0.36947,0.46559,0.36885,0.19917,1.7274,2.06236,2.14742,0.000773089,0.000773089,0.000773089
53,2456.21,1.43881,2.23286,1.77932,0.41487,0.42187,0.37971,0.20933,1.59984,2.03586,2.01945,0.000760228,0.000760228,0.000760228
54,2505.44,1.39812,2.16065,1.74717,0.38299,0.39855,0.33114,0.1742,1.67556,2.1717,2.06916,0.000747367,0.000747367,0.000747367
55,2554.94,1.40715,2.19394,1.76506,0.48933,0.38606,0.39291,0.20693,1.6549,2.02481,2.08552,0.000734506,0.000734506,0.000734506
56,2603.81,1.41584,2.14369,1.77638,0.40857,0.46071,0.37258,0.19975,1.64319,2.06318,2.04597,0.000721645,0.000721645,0.000721645
57,2652.9,1.41545,2.17112,1.76046,0.39807,0.45543,0.3786,0.20571,1.61353,2.00139,2.01889,0.000708784,0.000708784,0.000708784
58,2702.05,1.37143,2.11504,1.72249,0.42949,0.49036,0.38907,0.22242,1.60518,1.94433,2.03497,0.000695923,0.000695923,0.000695923
59,2751.17,1.38363,2.1438,1.74776,0.42975,0.46463,0.38583,0.21498,1.60297,1.91662,2.01053,0.000683062,0.000683062,0.000683062
60,2799.95,1.38168,2.13833,1.74804,0.43282,0.41893,0.37222,0.19098,1.6746,1.98261,2.08851,0.000670201,0.000670201,0.000670201
61,2848.88,1.3498,2.11315,1.73833,0.38029,0.51503,0.37676,0.20652,1.59911,2.06396,2.01612,0.00065734,0.00065734,0.00065734
62,2898.58,1.38182,2.07729,1.7495,0.40196,0.46338,0.40332,0.21969,1.62206,1.93995,2.00375,0.000644479,0.000644479,0.000644479
63,2948.01,1.33976,2.03523,1.69428,0.40197,0.4646,0.37762,0.21586,1.5999,1.9883,2.0201,0.000631618,0.000631618,0.000631618
64,2997.36,1.33215,2.01718,1.71236,0.42636,0.4658,0.39289,0.2118,1.63436,1.96499,2.05264,0.000618757,0.000618757,0.000618757
65,3046.89,1.34619,2.03251,1.71029,0.48922,0.47923,0.41497,0.23836,1.55803,1.9051,1.9698,0.000605896,0.000605896,0.000605896
66,3096.24,1.30015,1.98015,1.67364,0.44394,0.48854,0.40728,0.22399,1.60788,1.91659,2.00713,0.000593035,0.000593035,0.000593035
67,3145.93,1.31036,1.95466,1.68778,0.42775,0.47356,0.3914,0.23339,1.56276,1.89265,1.97066,0.000580174,0.000580174,0.000580174
68,3194.44,1.30744,2.00648,1.69236,0.46033,0.48557,0.41177,0.23553,1.58781,1.86024,1.99933,0.000567313,0.000567313,0.000567313
69,3247.22,1.308,1.97445,1.68606,0.42694,0.48702,0.4013,0.2227,1.63239,1.88127,2.02647,0.000554452,0.000554452,0.000554452
70,3295.48,1.3068,1.9428,1.67408,0.44875,0.51323,0.41786,0.23953,1.59863,1.89091,1.98858,0.000541591,0.000541591,0.000541591
71,3345.22,1.29208,1.96321,1.67834,0.42613,0.51799,0.41366,0.23753,1.55186,1.83216,1.92922,0.00052873,0.00052873,0.00052873
72,3394.3,1.2857,1.90073,1.65804,0.49756,0.4681,0.42869,0.24627,1.54144,1.8379,1.95767,0.000515869,0.000515869,0.000515869
73,3443.63,1.28793,1.976,1.66469,0.41606,0.53792,0.43664,0.24785,1.5617,1.81506,1.9607,0.000503008,0.000503008,0.000503008
74,3495.18,1.25037,1.92341,1.63574,0.43176,0.52603,0.43497,0.25454,1.50929,1.80357,1.93058,0.000490147,0.000490147,0.000490147
75,3546.72,1.25372,1.89554,1.63017,0.42501,0.53005,0.43019,0.2637,1.47024,1.77672,1.86613,0.000477286,0.000477286,0.000477286
76,3598.24,1.26419,1.87098,1.63934,0.42363,0.5422,0.43677,0.26893,1.47419,1.70269,1.88701,0.000464425,0.000464425,0.000464425
77,3649.63,1.25499,1.90711,1.64311,0.42748,0.50203,0.41976,0.25741,1.43239,1.78087,1.84134,0.000451564,0.000451564,0.000451564
78,3701.05,1.23272,1.871,1.64202,0.47771,0.51804,0.44425,0.27056,1.47501,1.74153,1.89104,0.000438703,0.000438703,0.000438703
79,3751.93,1.21007,1.82433,1.60924,0.46244,0.54275,0.45663,0.26975,1.51584,1.76497,1.91392,0.000425842,0.000425842,0.000425842
80,3803.61,1.21653,1.84429,1.59758,0.46204,0.52498,0.42831,0.2486,1.48955,1.85949,1.91209,0.000412981,0.000412981,0.000412981
81,3855.7,1.22422,1.832,1.61585,0.42751,0.51055,0.44434,0.27684,1.43497,1.74631,1.83583,0.00040012,0.00040012,0.00040012
82,3907.01,1.19907,1.82457,1.59808,0.44947,0.5101,0.41955,0.26198,1.44613,1.79756,1.85531,0.000387259,0.000387259,0.000387259
83,3958.34,1.19535,1.80678,1.5886,0.38328,0.56577,0.40114,0.24354,1.42944,1.8272,1.86996,0.000374398,0.000374398,0.000374398
84,4008.6,1.17586,1.77921,1.59189,0.44961,0.50446,0.43161,0.2631,1.44234,1.79079,1.8976,0.000361537,0.000361537,0.000361537
85,4060.72,1.18313,1.76209,1.57165,0.47523,0.51788,0.45465,0.27321,1.46261,1.78322,1.88944,0.000348676,0.000348676,0.000348676
86,4112.73,1.17923,1.77279,1.58866,0.48338,0.5321,0.43916,0.26641,1.39917,1.73674,1.83862,0.000335815,0.000335815,0.000335815
87,4164.96,1.15139,1.71004,1.55645,0.44161,0.47519,0.41394,0.25424,1.42808,1.7839,1.85983,0.000322954,0.000322954,0.000322954
88,4217.19,1.17048,1.74425,1.56519,0.3784,0.61602,0.42395,0.25695,1.42815,1.72285,1.88611,0.000310093,0.000310093,0.000310093
89,4269.35,1.18029,1.74071,1.57534,0.45411,0.59327,0.44463,0.27026,1.41055,1.69384,1.84556,0.000297232,0.000297232,0.000297232
90,4319.52,1.1452,1.69879,1.55978,0.42075,0.53912,0.42795,0.25413,1.4604,1.76094,1.88319,0.000284371,0.000284371,0.000284371
91,4375.61,1.1352,1.52315,1.59939,0.45537,0.56434,0.45214,0.28022,1.39897,1.70797,1.83575,0.00027151,0.00027151,0.00027151
92,4428.01,1.08961,1.4354,1.5692,0.45834,0.57192,0.43695,0.27753,1.40549,1.65426,1.83283,0.000258649,0.000258649,0.000258649
93,4479.43,1.0875,1.41843,1.56776,0.48872,0.5253,0.43797,0.27103,1.40385,1.68122,1.84079,0.000245788,0.000245788,0.000245788
94,4529.72,1.06807,1.40618,1.55202,0.48375,0.53613,0.45543,0.27859,1.40054,1.66042,1.84529,0.000232927,0.000232927,0.000232927
95,4581.79,1.03885,1.38071,1.5342,0.44719,0.55591,0.4461,0.27704,1.37805,1.67127,1.82891,0.000220066,0.000220066,0.000220066
96,4630.47,1.01968,1.37134,1.51009,0.46249,0.57034,0.46093,0.2963,1.37492,1.63851,1.83358,0.000207205,0.000207205,0.000207205
97,4682.27,1.00104,1.33242,1.48698,0.46327,0.5371,0.45598,0.29376,1.37345,1.65157,1.84363,0.000194344,0.000194344,0.000194344
98,4731.06,1.00265,1.32279,1.50335,0.51257,0.5446,0.4658,0.29394,1.36991,1.63544,1.84542,0.000181483,0.000181483,0.000181483
99,4783.25,0.97268,1.29561,1.46835,0.48279,0.54747,0.45992,0.29177,1.34144,1.61673,1.80292,0.000168622,0.000168622,0.000168622
100,4830.79,0.9811,1.29201,1.47139,0.45383,0.59584,0.46897,0.30612,1.33962,1.57808,1.80242,0.000155761,0.000155761,0.000155761
